epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.614,2.89019,4.3899,1.58486,0.00921,0.35734,0.03478,0.01002,2.5165,4.03207,1.29746,0.000329365,0.000329365,0.000329365
2,501.547,2.60001,3.53667,1.40444,0.22196,0.14997,0.05502,0.01617,2.54347,3.69405,1.47096,0.000651764,0.000651764,0.000651764
3,767.095,2.55321,3.15755,1.38696,0.07499,0.12021,0.05972,0.01837,2.47916,3.53878,1.37621,0.000963163,0.000963163,0.000963163
4,1009.12,2.54795,3.10077,1.40444,0.29509,0.15455,0.07183,0.02316,2.41344,3.12717,1.33289,0.0009505,0.0009505,0.0009505
5,1247.08,2.48413,3.03896,1.38038,0.16094,0.17483,0.08949,0.02934,2.39372,2.95032,1.36299,0.000934,0.000934,0.000934
6,1488.36,2.4857,2.92371,1.4072,0.19714,0.18798,0.09155,0.02944,2.38412,3.35185,1.35982,0.0009175,0.0009175,0.0009175
7,1727.33,2.46139,2.84957,1.36075,0.36171,0.16177,0.09583,0.03066,2.422,2.94064,1.44679,0.000901,0.000901,0.000901
8,1964.34,2.45967,2.85304,1.36107,0.20663,0.20085,0.12337,0.0397,2.37594,2.88764,1.37429,0.0008845,0.0008845,0.0008845
9,2203.71,2.44093,2.74651,1.36745,0.35193,0.22779,0.14636,0.05058,2.31201,2.78348,1.3773,0.000868,0.000868,0.000868
10,2440.29,2.39894,2.70761,1.33962,0.24482,0.21714,0.14805,0.05067,2.34272,2.78311,1.42474,0.0008515,0.0008515,0.0008515
11,2677.79,2.40156,2.66199,1.36133,0.20439,0.23136,0.14504,0.04768,2.37765,2.7935,1.4001,0.000835,0.000835,0.000835
12,2916.36,2.41346,2.64849,1.36621,0.18629,0.21562,0.14741,0.0515,2.2858,2.71936,1.34435,0.0008185,0.0008185,0.0008185
13,3159.3,2.36983,2.59083,1.3197,0.22719,0.25018,0.16026,0.05863,2.31805,2.80429,1.37715,0.000802,0.000802,0.000802
14,3396.01,2.37754,2.53989,1.31276,0.25038,0.24847,0.15797,0.05192,2.30275,2.5755,1.35091,0.0007855,0.0007855,0.0007855
15,3632.93,2.37491,2.60274,1.35175,0.24856,0.22486,0.1511,0.05231,2.30612,2.72496,1.39462,0.000769,0.000769,0.000769
16,3869.54,2.35408,2.53561,1.32037,0.2275,0.24486,0.17304,0.05979,2.2838,2.64622,1.34097,0.0007525,0.0007525,0.0007525
17,4111.31,2.35639,2.52442,1.32295,0.20832,0.25063,0.16449,0.06011,2.2883,2.5857,1.35112,0.000736,0.000736,0.000736
18,4347.81,2.33288,2.53044,1.33432,0.22895,0.23985,0.17121,0.06043,2.26737,2.50381,1.31132,0.0007195,0.0007195,0.0007195
19,4588.6,2.31888,2.49182,1.31292,0.30012,0.23447,0.19786,0.06745,2.25839,2.46272,1.36292,0.000703,0.000703,0.000703
20,4827.95,2.2952,2.39707,1.30812,0.25193,0.26936,0.17749,0.06359,2.30613,2.49042,1.3924,0.0006865,0.0006865,0.0006865
21,5066.03,2.3036,2.3486,1.314,0.23431,0.28785,0.20019,0.06379,2.30258,2.4777,1.35638,0.00067,0.00067,0.00067
22,5310.3,2.31027,2.38858,1.30363,0.2152,0.24717,0.18096,0.06162,2.2652,2.43721,1.33475,0.0006535,0.0006535,0.0006535
