epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.296,2.30638,2.40372,1.29951,0.24079,0.28372,0.18878,0.06495,2.30705,2.38279,1.35153,0.00033105,0.00033105,0.00033105
2,812.537,2.30441,2.40738,1.31697,0.24079,0.26546,0.14765,0.05056,2.34882,2.46627,1.35286,0.00064794,0.00064794,0.00064794
3,1202.68,2.30366,2.37636,1.32183,0.20656,0.28443,0.16836,0.05845,2.22717,2.40329,1.34981,0.00094833,0.00094833,0.00094833
4,1593.1,2.31155,2.35838,1.33243,0.24001,0.25485,0.16565,0.05138,2.30556,2.46974,1.36481,0.00092575,0.00092575,0.00092575
5,1986.22,2.30953,2.3749,1.33902,0.26015,0.25266,0.18174,0.0634,2.23382,2.78435,1.33913,0.000901,0.000901,0.000901
6,2382.61,2.32003,2.4096,1.34637,0.18177,0.25067,0.14127,0.04636,2.35905,2.73782,1.38633,0.00087625,0.00087625,0.00087625
7,2775.06,2.27876,2.3124,1.32267,0.23553,0.24194,0.15785,0.05394,2.25766,2.58153,1.37005,0.0008515,0.0008515,0.0008515
8,3162.64,2.27855,2.30604,1.3074,0.20816,0.25326,0.17236,0.05718,2.26716,2.44044,1.37073,0.00082675,0.00082675,0.00082675
9,3550.06,2.26729,2.32153,1.3455,0.25281,0.25362,0.20316,0.07178,2.26125,2.34181,1.345,0.000802,0.000802,0.000802
10,3942.28,2.25191,2.29221,1.31657,0.22283,0.27355,0.19497,0.0678,2.21067,2.58064,1.30182,0.00077725,0.00077725,0.00077725
11,4338.57,2.25935,2.2761,1.32864,0.25139,0.28151,0.2077,0.07116,2.24991,2.37159,1.36079,0.0007525,0.0007525,0.0007525
12,4731.79,2.21407,2.17072,1.32756,0.28575,0.24296,0.19964,0.06943,2.26996,2.36762,1.35682,0.00072775,0.00072775,0.00072775
13,5129.85,2.24583,2.18048,1.30142,0.27311,0.27261,0.2195,0.07818,2.24997,2.26362,1.355,0.000703,0.000703,0.000703
14,5520.7,2.23843,2.1904,1.2962,0.24455,0.24115,0.19249,0.0691,2.26925,2.32731,1.33039,0.00067825,0.00067825,0.00067825
15,5904.89,2.25289,2.19087,1.29096,0.24945,0.28041,0.21559,0.07444,2.24572,2.26408,1.34315,0.0006535,0.0006535,0.0006535
16,6294.52,2.22403,2.16502,1.29255,0.26921,0.27765,0.19431,0.06648,2.26228,2.32087,1.35401,0.00062875,0.00062875,0.00062875
17,6691.06,2.2101,2.13932,1.30591,0.24386,0.25271,0.18753,0.06481,2.19295,2.30881,1.27913,0.000604,0.000604,0.000604
18,7088.79,2.21998,2.11993,1.28002,0.27113,0.25978,0.21503,0.07833,2.21224,2.25524,1.32387,0.00057925,0.00057925,0.00057925
19,7477.73,2.19344,2.08993,1.27344,0.28715,0.27353,0.22956,0.07831,2.23253,2.22596,1.31648,0.0005545,0.0005545,0.0005545
20,7860.24,2.18011,2.06797,1.26858,0.25396,0.23534,0.20059,0.06702,2.24063,2.23303,1.31777,0.00052975,0.00052975,0.00052975
21,8247.7,2.17668,2.0224,1.26625,0.35096,0.28287,0.24243,0.08396,2.24037,2.19406,1.34439,0.000505,0.000505,0.000505
22,8629.76,2.16946,2.03343,1.29559,0.28138,0.29921,0.23077,0.07909,2.22085,2.22687,1.31285,0.00048025,0.00048025,0.00048025
23,9022.52,2.16274,2.004,1.2749,0.22447,0.31145,0.20284,0.06768,2.25808,2.28476,1.34466,0.0004555,0.0004555,0.0004555
24,9414.38,2.16742,1.99096,1.27711,0.28596,0.31605,0.24594,0.08417,2.22173,2.25763,1.3183,0.00043075,0.00043075,0.00043075
25,9810.25,2.13022,1.98854,1.27184,0.3432,0.31797,0.26519,0.08929,2.23268,2.22949,1.32232,0.000406,0.000406,0.000406
26,10204.9,2.15428,1.97684,1.24692,0.29869,0.30727,0.2425,0.08305,2.23767,2.20456,1.33371,0.00038125,0.00038125,0.00038125
27,10599.9,2.13165,1.96777,1.25913,0.30343,0.30708,0.25054,0.08923,2.20183,2.2319,1.28264,0.0003565,0.0003565,0.0003565
28,10998.9,2.12065,1.90361,1.25649,0.30862,0.30408,0.24683,0.08799,2.20331,2.23301,1.30169,0.00033175,0.00033175,0.00033175
29,11409.6,2.11154,1.89619,1.25232,0.32006,0.31256,0.26496,0.09296,2.20976,2.16922,1.31009,0.000307,0.000307,0.000307
30,11846.7,2.09438,1.89616,1.26032,0.30285,0.30755,0.25527,0.09197,2.21881,2.11809,1.32857,0.00028225,0.00028225,0.00028225
31,12242.7,2.10627,1.90153,1.285,0.30147,0.33234,0.26286,0.09511,2.20321,2.16973,1.32046,0.0002575,0.0002575,0.0002575
32,12625.3,2.08618,1.83685,1.26811,0.34928,0.30395,0.25665,0.08702,2.24497,2.19094,1.32054,0.00023275,0.00023275,0.00023275
33,13003.8,2.07957,1.8119,1.28628,0.31248,0.33857,0.26458,0.09121,2.25785,2.14512,1.33081,0.000208,0.000208,0.000208
34,13383.3,2.04811,1.79825,1.26929,0.35963,0.29857,0.26926,0.09528,2.22592,2.1658,1.31923,0.00018325,0.00018325,0.00018325
35,13760.4,2.04117,1.74285,1.25645,0.34831,0.34193,0.28515,0.10194,2.23483,2.09918,1.33602,0.0001585,0.0001585,0.0001585
36,14137.2,2.03684,1.74541,1.2656,0.33376,0.33209,0.27767,0.09756,2.25922,2.09394,1.33454,0.00013375,0.00013375,0.00013375
37,14520,2.02525,1.72291,1.25931,0.37695,0.3158,0.28015,0.10032,2.24184,2.10547,1.32353,0.000109,0.000109,0.000109
38,14897.4,2.02545,1.70818,1.25635,0.3699,0.31955,0.2859,0.10423,2.24279,2.10654,1.32524,8.425e-05,8.425e-05,8.425e-05
